Arc3,AssistPts,AtRim,Corner3,LongMidRange,ShortMidRange,source,target,value,Season,teamId,Team,sourceName,targetName
2,16,5,0,0,0,201572,1628978,7,2019-20,1610612749,Bucks,Brook Lopez,Donte DiVincenzo
0,2,1,0,0,0,201577,101107,1,2019-20,1610612749,Bucks,Robin Lopez,Marvin Williams
4,16,2,0,0,0,201577,1626192,6,2019-20,1610612749,Bucks,Robin Lopez,Pat Connaughton
1,5,0,0,0,1,201577,1628425,2,2019-20,1610612749,Bucks,Robin Lopez,Sterling Brown
3,15,3,0,0,0,201577,1628978,6,2019-20,1610612749,Bucks,Robin Lopez,Donte DiVincenzo
0,4,1,0,0,1,201577,203507,2,2019-20,1610612749,Bucks,Robin Lopez,Giannis Antetokounmpo
2,23,7,1,0,0,201588,1626192,10,2019-20,1610612749,Bucks,George Hill,Pat Connaughton
1,14,2,1,1,1,201588,1628391,6,2019-20,1610612749,Bucks,George Hill,D.J. Wilson
3,41,2,8,1,1,201588,1628425,15,2019-20,1610612749,Bucks,George Hill,Sterling Brown
7,38,7,1,0,0,201588,1628978,15,2019-20,1610612749,Bucks,George Hill,Donte DiVincenzo
0,4,2,0,0,0,201588,202339,2,2019-20,1610612749,Bucks,George Hill,Eric Bledsoe
0,10,5,0,0,0,202083,101141,5,2019-20,1610612749,Bucks,Wesley Matthews,Ersan Ilyasova
1,5,1,0,0,0,202083,1626192,2,2019-20,1610612749,Bucks,Wesley Matthews,Pat Connaughton
1,3,0,0,0,0,202083,1628391,1,2019-20,1610612749,Bucks,Wesley Matthews,D.J. Wilson
1,3,0,0,0,0,202083,1628412,1,2019-20,1610612749,Bucks,Wesley Matthews,Frank Mason
1,12,3,1,0,0,202083,1628978,5,2019-20,1610612749,Bucks,Wesley Matthews,Donte DiVincenzo
0,7,2,1,0,0,202083,201577,3,2019-20,1610612749,Bucks,Wesley Matthews,Robin Lopez
10,44,7,0,0,0,202339,1626192,17,2019-20,1610612749,Bucks,Eric Bledsoe,Pat Connaughton
3,17,1,2,0,0,202339,1628425,6,2019-20,1610612749,Bucks,Eric Bledsoe,Sterling Brown
7,51,9,2,2,1,202339,1628978,21,2019-20,1610612749,Bucks,Eric Bledsoe,Donte DiVincenzo
3,21,2,2,0,1,203114,1626192,8,2019-20,1610612749,Bucks,Khris Middleton,Pat Connaughton
1,3,0,0,0,0,203114,1628391,1,2019-20,1610612749,Bucks,Khris Middleton,D.J. Wilson
1,7,2,0,0,0,203114,1628425,3,2019-20,1610612749,Bucks,Khris Middleton,Sterling Brown
6,41,10,1,0,0,203114,1628978,17,2019-20,1610612749,Bucks,Khris Middleton,Donte DiVincenzo
0,8,1,2,0,0,203507,101107,3,2019-20,1610612749,Bucks,Giannis Antetokounmpo,Marvin Williams
10,56,9,2,0,1,203507,1626192,22,2019-20,1610612749,Bucks,Giannis Antetokounmpo,Pat Connaughton
1,19,2,4,0,0,203507,1628425,7,2019-20,1610612749,Bucks,Giannis Antetokounmpo,Sterling Brown
18,109,20,3,1,2,203507,1628978,44,2019-20,1610612749,Bucks,Giannis Antetokounmpo,Donte DiVincenzo
0,2,1,0,0,0,203507,203648,1,2019-20,1610612749,Bucks,Giannis Antetokounmpo,Thanasis Antetokounmpo
1,5,1,0,0,0,203648,1628412,2,2019-20,1610612749,Bucks,Thanasis Antetokounmpo,Frank Mason
1,6,0,1,0,0,203648,1628425,2,2019-20,1610612749,Bucks,Thanasis Antetokounmpo,Sterling Brown
1,3,0,0,0,0,203648,1628978,1,2019-20,1610612749,Bucks,Thanasis Antetokounmpo,Donte DiVincenzo
0,2,1,0,0,0,101107,1628391,1,2019-20,1610612749,Bucks,Marvin Williams,D.J. Wilson
0,2,1,0,0,0,101141,1628412,1,2019-20,1610612749,Bucks,Ersan Ilyasova,Frank Mason
1,9,3,0,0,0,1626192,1628391,4,2019-20,1610612749,Bucks,Pat Connaughton,D.J. Wilson
1,3,0,0,0,0,1626192,1628412,1,2019-20,1610612749,Bucks,Pat Connaughton,Frank Mason
3,14,0,1,0,1,1626192,1628425,5,2019-20,1610612749,Bucks,Pat Connaughton,Sterling Brown
3,21,3,2,0,0,1626192,1628978,8,2019-20,1610612749,Bucks,Pat Connaughton,Donte DiVincenzo
0,2,1,0,0,0,1626192,202339,1,2019-20,1610612749,Bucks,Pat Connaughton,Eric Bledsoe
0,6,3,0,0,0,1626192,203648,3,2019-20,1610612749,Bucks,Pat Connaughton,Thanasis Antetokounmpo
1,7,1,0,0,1,1627733,1626192,3,2019-20,1610612749,Bucks,Dragan Bender,Pat Connaughton
1,5,1,0,0,0,1627733,1628978,2,2019-20,1610612749,Bucks,Dragan Bender,Donte DiVincenzo
0,2,1,0,0,0,1627733,203507,1,2019-20,1610612749,Bucks,Dragan Bender,Giannis Antetokounmpo
0,2,1,0,0,0,1627733,203648,1,2019-20,1610612749,Bucks,Dragan Bender,Thanasis Antetokounmpo
1,11,4,0,0,0,1628391,1626192,5,2019-20,1610612749,Bucks,D.J. Wilson,Pat Connaughton
2,6,0,0,0,0,1628391,1628978,2,2019-20,1610612749,Bucks,D.J. Wilson,Donte DiVincenzo
0,2,1,0,0,0,1628391,203648,1,2019-20,1610612749,Bucks,D.J. Wilson,Thanasis Antetokounmpo
4,19,2,1,0,0,1628412,1628425,7,2019-20,1610612749,Bucks,Frank Mason,Sterling Brown
2,12,1,0,0,2,1628412,1628978,5,2019-20,1610612749,Bucks,Frank Mason,Donte DiVincenzo
0,2,1,0,0,0,1628412,201572,1,2019-20,1610612749,Bucks,Frank Mason,Brook Lopez
0,2,1,0,0,0,1628412,203507,1,2019-20,1610612749,Bucks,Frank Mason,Giannis Antetokounmpo
0,4,2,0,0,0,1628412,203648,2,2019-20,1610612749,Bucks,Frank Mason,Thanasis Antetokounmpo
1,7,2,0,0,0,1628425,1626192,3,2019-20,1610612749,Bucks,Sterling Brown,Pat Connaughton
1,3,0,0,0,0,1628425,1628978,1,2019-20,1610612749,Bucks,Sterling Brown,Donte DiVincenzo
0,9,2,1,0,1,1628425,201577,4,2019-20,1610612749,Bucks,Sterling Brown,Robin Lopez
0,4,1,0,0,1,1628425,202339,2,2019-20,1610612749,Bucks,Sterling Brown,Eric Bledsoe
0,12,6,0,0,0,1628425,203648,6,2019-20,1610612749,Bucks,Sterling Brown,Thanasis Antetokounmpo
0,4,1,0,0,1,1628978,101107,2,2019-20,1610612749,Bucks,Donte DiVincenzo,Marvin Williams
5,38,10,1,0,0,1628978,1626192,16,2019-20,1610612749,Bucks,Donte DiVincenzo,Pat Connaughton
1,18,3,1,2,1,1628978,1628391,8,2019-20,1610612749,Bucks,Donte DiVincenzo,D.J. Wilson
0,4,2,0,0,0,201577,1627733,2,2019-20,1610612749,Bucks,Robin Lopez,Dragan Bender
0,2,1,0,0,0,201577,1628391,1,2019-20,1610612749,Bucks,Robin Lopez,D.J. Wilson
0,2,1,0,0,0,201588,1627733,1,2019-20,1610612749,Bucks,George Hill,Dragan Bender
0,4,1,0,1,0,202083,1628425,2,2019-20,1610612749,Bucks,Wesley Matthews,Sterling Brown
0,9,1,1,0,2,202339,1628391,4,2019-20,1610612749,Bucks,Eric Bledsoe,D.J. Wilson
0,2,1,0,0,0,203648,1626192,1,2019-20,1610612749,Bucks,Thanasis Antetokounmpo,Pat Connaughton
0,9,1,1,1,1,203648,1628391,4,2019-20,1610612749,Bucks,Thanasis Antetokounmpo,D.J. Wilson
0,3,0,1,0,0,101107,201588,1,2019-20,1610612749,Bucks,Marvin Williams,George Hill
0,6,0,2,0,0,101141,202083,2,2019-20,1610612749,Bucks,Ersan Ilyasova,Wesley Matthews
0,2,1,0,0,0,1626192,1627733,1,2019-20,1610612749,Bucks,Pat Connaughton,Dragan Bender
0,2,1,0,0,0,1628391,1628412,1,2019-20,1610612749,Bucks,D.J. Wilson,Frank Mason
0,12,2,2,0,1,1628412,1628391,5,2019-20,1610612749,Bucks,Frank Mason,D.J. Wilson
0,10,2,2,0,0,1628425,1628391,4,2019-20,1610612749,Bucks,Sterling Brown,D.J. Wilson
0,2,1,0,0,0,1628978,1627733,1,2019-20,1610612749,Bucks,Donte DiVincenzo,Dragan Bender
0,2,1,0,0,0,1628978,1628412,1,2019-20,1610612749,Bucks,Donte DiVincenzo,Frank Mason
0,7,1,1,1,0,1628978,1628425,3,2019-20,1610612749,Bucks,Donte DiVincenzo,Sterling Brown
0,9,0,3,0,0,201577,201588,3,2019-20,1610612749,Bucks,Robin Lopez,George Hill
0,3,0,1,0,0,1627733,101141,1,2019-20,1610612749,Bucks,Dragan Bender,Ersan Ilyasova
0,3,0,1,0,0,1628391,201572,1,2019-20,1610612749,Bucks,D.J. Wilson,Brook Lopez
0,3,0,1,0,0,1628391,201588,1,2019-20,1610612749,Bucks,D.J. Wilson,George Hill
0,3,0,1,0,0,202083,1627733,1,2019-20,1610612749,Bucks,Wesley Matthews,Dragan Bender
0,3,0,1,0,0,203114,1627733,1,2019-20,1610612749,Bucks,Khris Middleton,Dragan Bender
0,3,0,1,0,0,1628412,1627733,1,2019-20,1610612749,Bucks,Frank Mason,Dragan Bender
0,3,0,1,0,0,1628425,1628412,1,2019-20,1610612749,Bucks,Sterling Brown,Frank Mason
0,2,0,0,1,0,1627733,2594,1,2019-20,1610612749,Bucks,Dragan Bender,Kyle Korver
0,2,0,0,1,0,201577,202083,1,2019-20,1610612749,Bucks,Robin Lopez,Wesley Matthews
0,2,0,0,1,0,203648,202339,1,2019-20,1610612749,Bucks,Thanasis Antetokounmpo,Eric Bledsoe
0,2,0,0,1,0,1628391,201577,1,2019-20,1610612749,Bucks,D.J. Wilson,Robin Lopez
0,6,0,0,2,1,1628391,203114,3,2019-20,1610612749,Bucks,D.J. Wilson,Khris Middleton
0,2,0,0,0,1,203114,101107,1,2019-20,1610612749,Bucks,Khris Middleton,Marvin Williams
0,2,0,0,0,1,1628391,1628425,1,2019-20,1610612749,Bucks,D.J. Wilson,Sterling Brown
0,4,0,0,0,2,1628412,1626192,2,2019-20,1610612749,Bucks,Frank Mason,Pat Connaughton
1,15,0,4,0,0,2207,2772,5,2017-18,1610612745,Rockets,Joe Johnson,Trevor Ariza
4,17,1,1,0,0,2403,2772,6,2017-18,1610612745,Rockets,Nene,Trevor Ariza
0,4,2,0,0,0,2207,2403,2,2017-18,1610612745,Rockets,Joe Johnson,Nene
0,8,4,0,0,0,2772,2403,4,2017-18,1610612745,Rockets,Trevor Ariza,Nene
3,22,0,3,1,1,101108,2207,8,2017-18,1610612745,Rockets,Chris Paul,Joe Johnson
28,158,12,16,0,1,101108,2772,57,2017-18,1610612745,Rockets,Chris Paul,Trevor Ariza
1,5,0,0,0,1,101123,2207,2,2017-18,1610612745,Rockets,Gerald Green,Joe Johnson
4,36,6,4,0,0,200782,2772,14,2017-18,1610612745,Rockets,PJ Tucker,Trevor Ariza
8,69,3,13,0,0,201569,2772,24,2017-18,1610612745,Rockets,Eric Gordon,Trevor Ariza
5,25,2,2,0,0,201583,2772,9,2017-18,1610612745,Rockets,Ryan Anderson,Trevor Ariza
3,14,0,1,0,1,201935,2207,5,2017-18,1610612745,Rockets,James Harden,Joe Johnson
25,212,27,27,0,1,201935,2772,80,2017-18,1610612745,Rockets,James Harden,Trevor Ariza
6,52,5,8,0,0,203991,2772,19,2017-18,1610612745,Rockets,Clint Capela,Trevor Ariza
1,3,0,0,0,0,204028,2207,1,2017-18,1610612745,Rockets,Tarik Black,Joe Johnson
3,31,1,6,0,1,2207,101123,11,2017-18,1610612745,Rockets,Joe Johnson,Gerald Green
3,11,1,0,0,0,2207,200782,4,2017-18,1610612745,Rockets,Joe Johnson,PJ Tucker
2,8,1,0,0,0,2207,201569,3,2017-18,1610612745,Rockets,Joe Johnson,Eric Gordon
1,11,4,0,0,0,2207,201601,5,2017-18,1610612745,Rockets,Joe Johnson,Luc Mbah a Moute
1,5,1,0,0,0,2403,101108,2,2017-18,1610612745,Rockets,Nene,Chris Paul
3,12,0,1,0,0,2403,101123,4,2017-18,1610612745,Rockets,Nene,Gerald Green
1,12,0,3,0,0,2403,200782,4,2017-18,1610612745,Rockets,Nene,PJ Tucker
4,21,2,1,0,1,2403,201569,8,2017-18,1610612745,Rockets,Nene,Eric Gordon
1,7,2,0,0,0,2403,201601,3,2017-18,1610612745,Rockets,Nene,Luc Mbah a Moute
6,39,9,1,0,0,2403,201935,16,2017-18,1610612745,Rockets,Nene,James Harden
2,13,2,1,0,0,2772,101108,5,2017-18,1610612745,Rockets,Trevor Ariza,Chris Paul
2,26,1,6,0,0,2772,101123,9,2017-18,1610612745,Rockets,Trevor Ariza,Gerald Green
12,64,3,6,0,2,2772,201569,23,2017-18,1610612745,Rockets,Trevor Ariza,Eric Gordon
5,23,0,2,1,0,2772,201583,8,2017-18,1610612745,Rockets,Trevor Ariza,Ryan Anderson
2,13,2,1,0,0,2772,201601,5,2017-18,1610612745,Rockets,Trevor Ariza,Luc Mbah a Moute
6,34,4,2,1,0,2772,201935,13,2017-18,1610612745,Rockets,Trevor Ariza,James Harden
0,52,21,0,2,3,101108,2403,26,2017-18,1610612745,Rockets,Chris Paul,Nene
0,4,2,0,0,0,101123,2403,2,2017-18,1610612745,Rockets,Gerald Green,Nene
0,12,6,0,0,0,200782,2403,6,2017-18,1610612745,Rockets,PJ Tucker,Nene
0,26,9,0,3,1,201569,2403,13,2017-18,1610612745,Rockets,Eric Gordon,Nene
0,98,43,0,3,3,201935,2403,49,2017-18,1610612745,Rockets,James Harden,Nene
0,4,2,0,0,0,2207,203991,2,2017-18,1610612745,Rockets,Joe Johnson,Clint Capela
0,11,4,1,0,0,2207,204028,5,2017-18,1610612745,Rockets,Joe Johnson,Tarik Black
0,2,1,0,0,0,2403,201583,1,2017-18,1610612745,Rockets,Nene,Ryan Anderson
0,40,2,12,0,0,2772,200782,14,2017-18,1610612745,Rockets,Trevor Ariza,PJ Tucker
